player_idx,mean,sd,q05,q25,q50,q75,q95,athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_abbreviation
60,2.0641102671388842,0.3281979579492467,1.5677517557812017,1.8314726558032857,2.042619673214419,2.2682257093453035,2.6373509578883776,2993874,Kyle Anderson,F,26,UTAH
388,2.0505443209870533,0.24703104345872326,1.6623488895602891,1.877756657142731,2.041685156061823,2.2022427898964425,2.481940245931825,4601023,Oso Ighodaro,F,21,PHX
520,2.0503133107039746,0.23348856802823553,1.683786294286651,1.8852038070765587,2.0439507261712584,2.2032672312722132,2.449134572019876,5144091,Jeremiah Fears,G,3,NO
18,2.047153873438485,0.6238560671110954,1.1958645495138465,1.5974032079729508,1.9624636848560177,2.4003680904721327,3.200730441585079,4023,Garrett Temple,G,28,TOR
191,2.043171949859073,0.27508195999387997,1.6281339792521854,1.8515593622383373,2.0258086000741033,2.2197200856205215,2.523237867900228,4278077,Jarred Vanderbilt,F,13,LAL
128,2.0416204958661344,0.21610124981908418,1.700193597757073,1.890059403901461,2.033735376832333,2.186106815691852,2.4088627835726166,3934673,Donte DiVincenzo,G,16,MIN
412,2.0343251420578725,0.45881212443933017,1.3567627913697884,1.7058332679956136,1.9953470933221018,2.3129679596290655,2.8624672020027573,4683935,Blake Wesley,G,22,POR
408,2.016917701387382,0.46505656821738506,1.34778992405295,1.6799564423346742,1.9738208452309887,2.303447218374649,2.8567662730849146,4683774,Bronny James,G,13,LAL
141,2.014790674016486,0.2283070106522397,1.663020266826308,1.8547337620970703,2.00174903908224,2.163004850981944,2.4099185245135195,4065670,Bruce Brown,G,7,DEN
19,2.008485704826027,0.28407965652511685,1.5777571420350458,1.813776407877629,1.9933048143491507,2.1783572085868874,2.5031632625435805,4251,Paul George,F,20,PHI
55,2.0042490881646637,0.30534672073398716,1.531915575637788,1.7842960061317799,1.9883182263118524,2.202800604838008,2.5391303845030286,2991043,Caris LeVert,G,8,DET
420,2.000078916381511,0.32939547468724706,1.50352923350251,1.764481298536833,1.9753497976323118,2.208623181407095,2.5823334946579894,4687718,Josh Minott,F,2,BOS
293,1.9985785971006826,0.2456013968034276,1.6150730198963974,1.8236154580447899,1.9856367152569494,2.165112422485149,2.4141578477125014,4432241,Jamal Shead,G,28,TOR
502,1.9982589317533477,0.3696792556107288,1.4404613663618775,1.7297648414747238,1.9681050007744125,2.236774767404964,2.651958025809965,5105553,Julian Phillips,F,4,CHI
215,1.9948791344845198,0.2589778549073312,1.5961434909757808,1.813574108911564,1.9807918759799703,2.1610118435014205,2.4409841591160104,4395626,Tre Jones,G,4,CHI
88,1.9934255307970683,0.38229025714306997,1.4223749009504782,1.715723688970156,1.9622780379625544,2.2383249899355673,2.6608147172286287,3133635,Jevon Carter,G,4,CHI
241,1.9841779602360383,0.2775671731422238,1.558044182457595,1.7985296384041065,1.9718480545305992,2.1557376166419697,2.449024530979447,4397183,Aaron Wiggins,G,25,OKC
101,1.9806386220590992,0.2845149933396624,1.5509337386909716,1.7741940875096076,1.9602935089182978,2.159924254827028,2.481372131304093,3138160,Caleb Martin,F,6,DAL
305,1.974832324320525,0.24731802640470912,1.5920584660045458,1.7985524206061008,1.966905184344947,2.131864013175338,2.4032955263365996,4432816,LaMelo Ball,G,30,CHA
416,1.973752940915706,0.20465713056339938,1.654452566406987,1.8290167738889684,1.9664302071429574,2.1040904972565166,2.327926032842695,4684740,Amen Thompson,G,10,HOU
370,1.9722236376128974,0.3136110869978046,1.4922015803341164,1.7520773371155605,1.9574924031880716,2.176852936625795,2.505390264123932,4592714,Pat Spencer,G,9,GS
443,1.9609349483056322,0.42341399971274246,1.3272459764026228,1.6565368550124737,1.927496762558463,2.2249591242932114,2.709099136814243,4703421,Taelon Peter,G,11,IND
544,1.9607291972817167,0.3830615129101934,1.3867452720959486,1.684640644065008,1.9357817039598177,2.196383878472824,2.631842508008961,5242502,Ben Saraf,G,17,BKN
511,1.9559429173463088,0.2849923123531408,1.521538638075559,1.7585774632855702,1.9408841011568387,2.132443234867185,2.45647368865062,5106258,Gradey Dick,G,28,TOR
171,1.9528086832766474,0.26901760914898654,1.5302864702368808,1.7708835593265453,1.936384710163154,2.1258789230840494,2.4215458570434483,4277811,Collin Sexton,G,30,CHA
482,1.9500503276587178,0.2759597035832553,1.524845122971652,1.7563457268286728,1.9317375283067024,2.133863861226454,2.4268222589925377,4997536,Gui Santos,F,9,GS
519,1.949292261741888,0.20757144230027086,1.6151380076453672,1.8104812973178412,1.939153341168599,2.078677023393187,2.3080669553431066,5124612,VJ Edgecombe,G,20,PHI
2,1.9490555824619569,0.45061266314721976,1.2830311234387195,1.6328637755088633,1.9062402187845546,2.2130163199118345,2.749466685339419,2779,Chris Paul,G,12,LAC
391,1.948223795505669,0.33162946015036293,1.4456662369924733,1.7118664024697217,1.9275410020613704,2.1538902576132353,2.5277747617213335,4606840,Jamir Watkins,G,27,WSH
