athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_abbreviation,player_idx
4397071,Mac McClung,G,11,IND,236
4397077,Jaxson Hayes,C,13,LAL,237
4397136,Saddiq Bey,G,3,NO,238
4397140,Kevin Porter Jr.,G,15,MIL,239
4397179,Tyrese Martin,G,17,BKN,240
4397183,Aaron Wiggins,G,25,OKC,241
4397189,Jalen Smith,F,4,CHI,242
4397227,Vince Williams Jr.,G,29,MEM,243
4397233,Pete Nance,F,15,MIL,244
4397251,Ron Harper Jr.,G,2,BOS,245
4397424,Neemias Queta,C,2,BOS,246
4397449,Elijah Harkless,G,26,UTAH,247
4397450,Darius Brown,G,5,CLE,248
4397475,AJ Green,G,15,MIL,249
4397688,Trey Murphy III,F,3,NO,250
4397689,Drew Peterson,F,30,CHA,251
4397821,Nate Williams,G,9,GS,252
4397882,Tolu Smith,F,8,DET,253
4397885,Dalano Banton,F,12,LAC,254
4397886,Charles Bassey,C,29,MEM,255
4398390,Jalen Pickett,G,7,DEN,256
4411057,Kevin McCullar Jr.,G,18,NY,257
4431671,Jaden McDaniels,F,16,MIN,258
4431675,Trendon Watford,F,20,PHI,259
4431678,Tyrese Maxey,G,20,PHI,260
4431679,Precious Achiuwa,PF,23,SAC,261
4431680,Onyeka Okongwu,F,1,ATL,262
4431684,Trayce Jackson-Davis,F,9,GS,263
4431687,Patrick Williams,F,4,CHI,264
4431690,Zeke Nnaji,F,7,DEN,265
4431695,Drew Timme,F,13,LAL,266
4431714,Jalen Wilson,F,17,BKN,267
4431734,Tristan Enaruna,F,5,CLE,268
4431736,Toumani Camara,F,22,POR,269
4431752,Kobe Brown,G,12,LAC,270
4431767,Christian Braun,G,7,DEN,271
4431772,Myron Gardner,F,14,MIA,272
4431778,Christian Koloko,C,13,LAL,273
4431785,Scotty Pippen Jr.,G,29,MEM,274
4431786,Keshad Johnson,F,14,MIA,275
4431823,Miles McBride,G,18,NY,276
4431893,Jamison Battle,F,28,TOR,277
4431941,RayJ Dennis,G,11,IND,278
4432107,Marcus Sasser,G,8,DET,279
4432117,Isaiah Stevens,G,23,SAC,280
4432158,Evan Mobley,C,5,CLE,281
4432165,Jalen Suggs,G,19,ORL,282
4432166,Cade Cunningham,G,8,DET,283
4432170,Isaiah Jackson,F,11,IND,284
4432171,Moses Moody,G,9,GS,285
4432173,Sharife Cooper,G,27,WSH,286
4432174,Cam Thomas,G,17,BKN,287
4432179,MarJon Beauchamp,F,20,PHI,288
4432181,Julian Strawther,G,7,DEN,289
4432185,Micah Peavy,G,3,NO,290
4432190,Andre Jackson Jr.,G,15,MIL,291
4432194,Day'Ron Sharpe,C,17,BKN,292
4432241,Jamal Shead,G,28,TOR,293
4432247,Jaylen Clark,G,16,MIN,294
4432446,Jabari Walker,F,20,PHI,295
4432573,Paolo Banchero,F,19,ORL,296
4432582,Max Christie,G,6,DAL,297
4432639,Jabari Smith Jr.,F,10,HOU,298
4432645,Trevor Keels,G,14,MIA,299
4432808,James Wiseman,C,11,IND,300
4432809,Cole Anthony,G,15,MIL,301
4432810,Isaiah Stewart,F,8,DET,302
4432811,Josh Green,G,30,CHA,303
4432813,Jeremiah Robinson-Earl,F,11,IND,304
4432816,LaMelo Ball,G,30,CHA,305
4432817,Johnny Juzang,G,16,MIN,306
4432819,Tre Mann,G,30,CHA,307
4432821,E.J. Liddell,F,17,BKN,308
4432822,Isaac Okoro,F,4,CHI,309
4432823,Jaylin Williams,F,25,OKC,310
4432827,Oscar Tshiebwe,C,26,UTAH,311
4432847,Terrence Shannon Jr.,G,16,MIN,312
4432848,Jaime Jaquez Jr.,F,14,MIA,313
4432872,Emanuel Miller,F,4,CHI,314
4432887,Tyson Etienne,G,17,BKN,315
4432907,Justin Champagnie,F,27,WSH,316
4433076,Ben Sheppard,G,11,IND,317
4433083,Cam Spencer,G,29,MEM,318
4433133,Jahmir Young,G,14,MIA,319
4433134,Scottie Barnes,F,28,TOR,320
4433136,Walker Kessler,C,26,UTAH,321
4433137,Ziaire Williams,F,17,BKN,322
4433144,Caleb Love,G,22,POR,323
4433149,LJ Cryer,G,9,GS,324
4433159,Dalen Terry,F,4,CHI,325
4433174,Dylan Cardwell,C,23,SAC,326
4433188,Devin Carter,G,23,SAC,327
4433192,Tari Eason,F,10,HOU,328
4433218,Jaden Ivey,G,8,DET,329
4433225,Tyler Kolek,G,18,NY,330
4433246,Patrick Baldwin Jr.,G,12,LAC,331
4433247,Jonathan Kuminga,F,9,GS,332
4433249,Moussa Diabate,F,30,CHA,333
4433255,Chet Holmgren,C,25,OKC,334
4433268,Trey Alexander,G,3,NO,335
4433281,Hunter Sallis,G,20,PHI,336
4433287,Brandon Miller,F,30,CHA,337
4433378,Colby Jones,G,8,DET,338
4433569,Johni Broome,F,20,PHI,339
4433607,DaRon Holmes II,F,7,DEN,340
4433618,Harrison Ingram,F,24,SA,341
4433621,Jalen Duren,C,8,DET,342
4433622,Chris Livingston,F,5,CLE,343
4433623,Caleb Houstan,G,1,ATL,344
4433627,Keyonte George,G,26,UTAH,345
4433629,Ryan Nembhard,G,6,DAL,346
4437244,Jalen Green,G,21,PHX,347
4565201,Malaki Branham,G,27,WSH,348
4566434,Franz Wagner,F,19,ORL,349
4576060,Ryan Kalkbrenner,C,30,CHA,350
4576085,JD Davison,G,10,HOU,351
4576086,Bryce McGowens,G,3,NO,352
4576087,Peyton Watson,G,7,DEN,353
4578893,Vit Krejci,G,1,ATL,354
4585618,Keshon Gilbert,G,27,WSH,355
4590360,Chucky Hepburn,G,28,TOR,356
4591259,Koby Brea,G,21,PHX,357
4591725,Ryan Rollins,G,15,MIL,358
4592187,Wendell Moore Jr.,F,8,DET,359
4592216,Alondes Williams,G,27,WSH,360
4592401,N'Faly Dante,C,1,ATL,361
4592427,Spencer Jones,F,7,DEN,362
4592435,Branden Carlson,C,25,OKC,363
4592461,Jacob Toppin,F,1,ATL,364
4592479,Julian Champagnie,F,24,SA,365
4592492,Bones Hyland,G,16,MIN,366
4592686,Antonio Reeves,G,30,CHA,367
4592691,Jake LaRavia,F,13,LAL,368
4592699,Enrique Freeman,F,16,MIN,369
4592714,Pat Spencer,G,9,GS,370
4592829,Quenton Jackson,G,11,IND,371
4592857,Isaiah Crawford,F,10,HOU,372
4593016,Quinten Post,C,9,GS,373
4593041,David Roddy,F,7,DEN,374
4593043,John Tonje,G,2,BOS,375
4593049,Orlando Robinson,C,19,ORL,376
4593125,Santi Aldama,F,29,MEM,377
4593803,Jalen Williams,G,25,OKC,378
4593841,Baylor Scheierman,G,2,BOS,379
4594268,Anthony Edwards,G,16,MIN,380
4594326,Kris Murray,F,22,POR,381
4594327,Keegan Murray,F,23,SAC,382
4595400,Olivier-Maxence Prosper,F,29,MEM,383
4596528,Lawson Lovering,C,29,MEM,384
4597259,Javonte Cooke,G,22,POR,385
4597865,Tosan Evbuomwan,F,18,NY,386
4600663,Zach Edey,C,29,MEM,387
4601023,Oso Ighodaro,F,21,PHX,388
4601025,Pelle Larsson,G,14,MIA,389
4602025,Sion James,G,30,CHA,390
4606840,Jamir Watkins,G,27,WSH,391
4610139,Jeremy Sochan,F,24,SA,392
4683021,Deni Avdija,F,22,POR,393
4683024,Killian Hayes,G,23,SAC,394
4683634,Bennedict Mathurin,G,11,IND,395
4683678,Scoot Henderson,G,22,POR,396
4683686,Nick Smith Jr.,G,13,LAL,397
4683688,Dereck Lively II,C,6,DAL,398
4683689,Jordan Walsh,G,2,BOS,399
4683692,Cason Wallace,G,25,OKC,400
4683736,Kobe Bufkin,G,13,LAL,401
4683742,Julian Reese,F,27,WSH,402
